date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:25	6567/6567	---M-Z	200	added ('OK')	application/javascript	etag:%2219a7-580e4e68976c4-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/js/jasny-bootstrap.js	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/js/jasny-bootstrap.js	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-basic.html)
15:22:25	0/-1	---M--	301	error ('')			https://wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.19a.delayed	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-layout.html)
15:22:25	15180/15180	---M-Z	200	added ('OK')	text/css	etag:%223b4c-580e4e678158e-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/select2/dist/css/select2.min.css	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/select2/dist/css/select2.min.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html)
15:22:26	683/683	---M-Z	200	added ('OK')	text/css	etag:%222ab-580e4e678a616-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/switchery/dist/switchery.min.css	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/switchery/dist/switchery.min.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html)
15:22:26	9777/9777	---M-Z	200	added ('OK')	text/css	etag:%222631-580e4e6743176-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/bootstrap-select/bootstrap-select.min.css	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/bootstrap-select/bootstrap-select.min.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html)
15:22:26	1317/1317	---M-Z	200	added ('OK')	text/css	etag:%22525-580e4e67473de-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/bootstrap-tagsinput/dist/bootstrap-tagsinput.css	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/bootstrap-tagsinput/dist/bootstrap-tagsinput.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html)
15:22:26	444/444	---M-Z	200	added ('OK')	text/css	etag:%221bc-580e4e6747bae-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/bootstrap-touchspin/dist/jquery.bootstrap-touchspin.min.css	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/bootstrap-touchspin/dist/jquery.bootstrap-touchspin.min.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html)
15:22:26	2255/2255	---M-Z	200	added ('OK')	text/css	etag:%228cf-580e4e677ee7e-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/multiselect/css/multi-select.css	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/multiselect/css/multi-select.css	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html)
15:22:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202019%2008:22:26%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/login.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/login.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html)
15:22:27	0/-1	---M--	301	error ('')			https://wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.html	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/material/layout-logo-center.1a2.delayed	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html)
15:22:27	24502/24502	---M-Z	200	added ('OK')	application/javascript	etag:%225fb6-580e4e678a9fe-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/switchery/dist/switchery.min.js	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/switchery/dist/switchery.min.js	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html)
15:22:28	76272/76272	---M-Z	200	added ('OK')	application/javascript	etag:%22129f0-580e4e678252e-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/select2/dist/js/select2.full.min.js	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/select2/dist/js/select2.full.min.js	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html)
15:22:28	44448/44448	---M-Z	200	added ('OK')	application/javascript	etag:%22ada0-580e4e6743176-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/bootstrap-select/bootstrap-select.min.js	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/bootstrap-select/bootstrap-select.min.js	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html)
15:22:28	8912/8912	---M-Z	200	added ('OK')	application/javascript	etag:%2222d0-580e4e67477c6-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/assets/plugins/bootstrap-tagsinput/dist/bootstrap-tagsinput.min.js	D:/wrappixel%20material-pro/wrappixel%20material-pro/wrappixel.com/demos/admin-templates/material-pro/assets/plugins/bootstrap-tagsinput/dist/bootstrap-tagsinput.min.js	(from https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html)
